symbol name,API importance,API importance (accurate)
nftw,0.999369,1-10^-3.200
pause,0.999366,1-10^-3.198
__log10_finite,0.999341,1-10^-3.181
signalfd,0.999339,1-10^-3.180
setlogmask,0.999303,1-10^-3.157
putwc,0.999280,1-10^-3.142
fgetspent,0.999253,1-10^-3.127
setns,0.999223,1-10^-3.110
gcvt,0.999125,1-10^-3.058
mallopt,0.999039,1-10^-3.017
putpwent,0.999035,1-10^-3.016
klogctl,0.999007,1-10^-3.003
__pread_chk,0.998999,1-10^-3.000
fputws,0.998989,1-10^-2.995
timer_create,0.998972,1-10^-2.988
timer_settime,0.998972,1-10^-2.988
timer_settime,0.998972,1-10^-2.988
timer_create,0.998972,1-10^-2.988
timer_delete,0.998963,1-10^-2.984
timer_delete,0.998963,1-10^-2.984
wcsftime,0.998955,1-10^-2.981
__xmknodat,0.998938,1-10^-2.974
wcsncat,0.998925,1-10^-2.968
__sched_cpufree,0.998919,1-10^-2.966
__sched_cpualloc,0.998919,1-10^-2.966
endprotoent,0.998918,1-10^-2.966
mkfifoat,0.998907,1-10^-2.961
fgetgrent,0.998901,1-10^-2.959
cfsetspeed,0.998849,1-10^-2.939
setprotoent,0.998848,1-10^-2.939
setdomainname,0.998847,1-10^-2.938
getchar,0.998817,1-10^-2.927
re_compile_fastmap,0.998815,1-10^-2.926
vwarn,0.998791,1-10^-2.918
getprotoent,0.998790,1-10^-2.917
getspnam_r,0.998777,1-10^-2.913
valloc,0.998713,1-10^-2.890
ruserok,0.998694,1-10^-2.884
sgetspent,0.998559,1-10^-2.841
argp_parse,0.998291,1-10^-2.767
epoll_create,0.998276,1-10^-2.763
sem_getvalue,0.998274,1-10^-2.763
expf,0.998244,1-10^-2.755
frexpl,0.997881,1-10^-2.674
getauxval,0.997873,1-10^-2.672
asinf,0.997712,1-10^-2.641
getlogin_r,0.997629,1-10^-2.625
bzero,0.997596,1-10^-2.619
munlockall,0.997582,1-10^-2.617
wcstok,0.997539,1-10^-2.609
atol,0.997518,1-10^-2.605
tdestroy,0.997425,1-10^-2.589
get_current_dir_name,0.997423,1-10^-2.589
twalk,0.997400,1-10^-2.585
__dn_comp,0.997101,1-10^-2.538
sinf,0.996758,1-10^-2.489
sigsetmask,0.996497,1-10^-2.456
posix_spawn_file_actions_init,0.996464,1-10^-2.451
ungetwc,0.996313,1-10^-2.433
posix_spawn_file_actions_destroy,0.996284,1-10^-2.430
posix_spawn_file_actions_adddup2,0.996282,1-10^-2.430
posix_spawn_file_actions_addclose,0.996185,1-10^-2.418
wcsnrtombs,0.996022,1-10^-2.400
__iswctype_l,0.996015,1-10^-2.400
__strtof_l,0.996015,1-10^-2.400
__wctype_l,0.996015,1-10^-2.400
posix_spawnp,0.995995,1-10^-2.397
posix_spawnp,0.995995,1-10^-2.397
forkpty,0.995825,1-10^-2.379
setbuffer,0.995049,1-10^-2.305
atanh,0.994974,1-10^-2.299
clnt_create,0.994901,1-10^-2.292
__vswprintf_chk,0.994700,1-10^-2.276
acosh,0.994524,1-10^-2.262
siginterrupt,0.993433,1-10^-2.183
setpgrp,0.992931,1-10^-2.151
isfdtype,0.992681,1-10^-2.136
__recv_chk,0.992412,1-10^-2.120
sigset,0.991921,1-10^-2.093
init_module,0.991368,1-10^-2.064
lrand48,0.990836,1-10^-2.038
argp_state_help,0.990554,1-10^-2.025
wcscat,0.990455,1-10^-2.020
asinh,0.988513,1-10^-1.940
mktemp,0.988473,1-10^-1.938
getnetgrent,0.988460,1-10^-1.938
setnetgrent,0.988460,1-10^-1.938
endnetgrent,0.988460,1-10^-1.938
personality,0.983610,1-10^-1.785
argp_error,0.983052,1-10^-1.771
mtrace,0.982848,1-10^-1.766
__pthread_unwind_next,0.982077,1-10^-1.747
__pthread_register_cancel,0.982077,1-10^-1.747
pthread_setcanceltype,0.981914,1-10^-1.743
pthread_setcanceltype,0.981914,1-10^-1.743
__pthread_unregister_cancel,0.981693,1-10^-1.737
ffs,0.980906,1-10^-1.719
log1p,0.980651,1-10^-1.713
argz_insert,0.978621,1-10^-1.670
argz_append,0.977783,1-10^-1.653
wcstod,0.977627,1-10^-1.650
tdelete,0.977206,1-10^-1.642
endhostent,0.976639,1-10^-1.632
ether_ntohost,0.976194,1-10^-1.623
waitid,0.974504,1-10^-1.594
wcsrchr,0.972287,1-10^-1.557
logwtmp,0.971127,1-10^-1.540
getline,0.969332,1-10^-1.513
vfork,0.965465,1-10^-1.462
logf,0.965162,1-10^-1.458
setkey,0.963874,1-10^-1.442
encrypt,0.963874,1-10^-1.442
fmemopen,0.962181,1-10^-1.422
if_nameindex,0.960926,1-10^-1.408
if_freenameindex,0.960713,1-10^-1.406
pow10,0.959931,1-10^-1.397
xdrmem_create,0.959627,1-10^-1.394
re_exec,0.958782,1-10^-1.385
re_comp,0.958782,1-10^-1.385
stime,0.957670,1-10^-1.373
xdr_int,0.956371,1-10^-1.360
adjtime,0.955649,1-10^-1.353
expm1,0.955223,1-10^-1.349
atof,0.955107,1-10^-1.348
xdr_bytes,0.953944,1-10^-1.337
xdr_u_int,0.952591,1-10^-1.324
xdr_array,0.951508,1-10^-1.314
bindresvport,0.947350,1-10^-1.279
__log_finite,0.945776,1-10^-1.266
clnt_spcreateerror,0.945116,1-10^-1.261
xdr_opaque_auth,0.944968,1-10^-1.259
gethostbyaddr_r,0.943722,1-10^-1.250
getcontext,0.942419,1-10^-1.240
memccpy,0.941621,1-10^-1.234
clntudp_create,0.940591,1-10^-1.226
__dprintf_chk,0.940519,1-10^-1.226
isascii,0.938574,1-10^-1.212
authunix_create_default,0.937389,1-10^-1.203
pmap_getmaps,0.936222,1-10^-1.195
pmap_getport,0.936104,1-10^-1.195
readahead,0.936061,1-10^-1.194
hcreate,0.935012,1-10^-1.187
hsearch,0.935012,1-10^-1.187
hdestroy,0.934965,1-10^-1.187
lsearch,0.934737,1-10^-1.185
addmntent,0.932896,1-10^-1.173
sethostent,0.928101,1-10^-1.143
asctime_r,0.927246,1-10^-1.138
login_tty,0.925612,1-10^-1.128
scalbn,0.924046,1-10^-1.119
scalbn,0.924046,1-10^-1.119
pthread_attr_setscope,0.921610,1-10^-1.106
pthread_attr_setscope,0.921610,1-10^-1.106
dup3,0.913431,1-10^-1.063
pthread_setname_np,0.888488,1-10^-0.953
argz_stringify,0.886858,1-10^-0.946
sigtimedwait,0.885309,1-10^-0.940
log10f,0.884244,1-10^-0.936
initstate,0.873183,1-10^-0.897
fopencookie,0.872251,1-10^-0.894
setstate,0.869677,1-10^-0.885
getutid,0.814446,1-10^-0.732
argp_help,0.813093,1-10^-0.728
eventfd_read,0.795317,1-10^-0.689
eventfd_write,0.795317,1-10^-0.689
__wcscpy_chk,0.792251,1-10^-0.682
execvpe,0.774905,1-10^-0.648
scanf,0.773500,1-10^-0.645
ftime,0.760813,1-10^-0.621
getutline,0.756050,1-10^-0.613
sigwaitinfo,0.754616,1-10^-0.610
__powf_finite,0.746284,1-10^-0.596
setspent,0.740312,1-10^-0.586
getspent,0.737282,1-10^-0.581
cuserid,0.731435,1-10^-0.571
quotactl,0.726181,1-10^-0.563
pthread_attr_getschedparam,0.722820,1-10^-0.557
pthread_attr_getschedparam,0.722820,1-10^-0.557
copysign,0.713892,1-10^-0.543
copysign,0.713892,1-10^-0.543
sem_open,0.712181,1-10^-0.541
swapcontext,0.708619,1-10^-0.536
posix_spawnattr_setflags,0.708287,1-10^-0.535
posix_spawnattr_init,0.708287,1-10^-0.535
posix_spawnattr_destroy,0.708229,1-10^-0.535
sysctl,0.704366,1-10^-0.529
posix_spawn_file_actions_addopen,0.700654,1-10^-0.524
posix_spawnattr_setsigmask,0.695239,1-10^-0.516
getrpcbyname,0.677883,1-10^-0.492
syslog,0.665479,1-10^-0.476
clog,0.655690,1-10^-0.463
strerror_l,0.642035,1-10^-0.446
atanf,0.641539,1-10^-0.446
pthread_timedjoin_np,0.629521,1-10^-0.431
ether_ntoa,0.626780,1-10^-0.428
j1,0.621489,1-10^-0.422
j0,0.620324,1-10^-0.421
msgsnd,0.616376,1-10^-0.416
makecontext,0.614736,1-10^-0.414
msgrcv,0.614317,1-10^-0.414
sem_unlink,0.609399,1-10^-0.408
sem_close,0.598013,1-10^-0.396
endnetent,0.586425,1-10^-0.383
mq_getattr,0.584770,1-10^-0.382
setnetent,0.584763,1-10^-0.382
malloc_trim,0.580718,1-10^-0.377
__openat64_2,0.580582,1-10^-0.377
gethostent,0.579632,1-10^-0.376
pthread_attr_getdetachstate,0.578343,1-10^-0.375
pthread_attr_getdetachstate,0.578343,1-10^-0.375
catopen,0.576966,1-10^-0.374
getnetent,0.576121,1-10^-0.373
argz_add,0.575908,1-10^-0.373
cexp,0.570309,1-10^-0.367
mcheck,0.569296,1-10^-0.366
__vfwprintf_chk,0.567419,1-10^-0.364
csqrt,0.564653,1-10^-0.361
__getcwd_chk,0.556630,1-10^-0.353
fgetc_unlocked,0.554831,1-10^-0.351
clock_getcpuclockid,0.547667,1-10^-0.345
swscanf,0.542460,1-10^-0.340
__fwprintf_chk,0.540231,1-10^-0.337
__wcscat_chk,0.536168,1-10^-0.334
__recvfrom_chk,0.509715,1-10^-0.310
__wcsncpy_chk,0.509563,1-10^-0.309
crypt_r,0.508184,1-10^-0.308
erfc,0.499831,1-10^-0.301
clock_getcpuclockid,0.492705,1-10^-0.295
erf,0.492214,1-10^-0.294
clock_nanosleep,0.484158,1-10^-0.287
clock_nanosleep,0.484052,1-10^-0.287
__b64_ntop,0.482176,1-10^-0.286
lldiv,0.477921,1-10^-0.282
nrand48,0.468769,1-10^-0.275
wcstod_l,0.463399,1-10^-0.270
__isinff,0.441749,1-10^-0.253
__atan2_finite,0.427550,1-10^-0.242
__log10f_finite,0.424386,1-10^-0.240
fegetround,0.421948,1-10^-0.238
argp_failure,0.420727,1-10^-0.237
pthread_attr_setguardsize,0.415666,1-10^-0.233
setcontext,0.415262,1-10^-0.233
sigpending,0.412455,1-10^-0.231
getservbyname_r,0.396992,1-10^-0.220
fabs,0.382509,1-10^-0.209
fmax,0.381929,1-10^-0.209
fmin,0.364011,1-10^-0.197
wctrans,0.361254,1-10^-0.195
towctrans,0.361254,1-10^-0.195
setfsuid,0.356145,1-10^-0.191
register_printf_type,0.352904,1-10^-0.189
register_printf_modifier,0.352904,1-10^-0.189
clone,0.347016,1-10^-0.185
tmpnam,0.328316,1-10^-0.173
tmpnam_r,0.328309,1-10^-0.173
getutent_r,0.327908,1-10^-0.173
__logf_finite,0.318469,1-10^-0.167
fremovexattr,0.309261,1-10^-0.161
powl,0.292862,1-10^-0.150
gnu_get_libc_version,0.292632,1-10^-0.150
hypotf,0.290229,1-10^-0.149
endfsent,0.287796,1-10^-0.147
setfsent,0.286485,1-10^-0.147
getfsent,0.286485,1-10^-0.147
setfsgid,0.272866,1-10^-0.138
svcerr_systemerr,0.264587,1-10^-0.133
svc_sendreply,0.264587,1-10^-0.133
svcerr_noproc,0.264587,1-10^-0.133
svcerr_decode,0.264587,1-10^-0.133
pthread_attr_getguardsize,0.262505,1-10^-0.132
getutmpx,0.251198,1-10^-0.126
__cmsg_nxthdr,0.250991,1-10^-0.126
adjtimex,0.243450,1-10^-0.121
xdr_u_long,0.237969,1-10^-0.118
fetestexcept,0.232639,1-10^-0.115
tgamma,0.232162,1-10^-0.115
xdr_vector,0.231320,1-10^-0.114
vsscanf,0.230945,1-10^-0.114
xdr_char,0.229674,1-10^-0.113
pthread_spin_destroy,0.225282,1-10^-0.111
xdr_u_char,0.225062,1-10^-0.111
xdr_short,0.224465,1-10^-0.110
xdr_pointer,0.221238,1-10^-0.109
__expf_finite,0.220518,1-10^-0.108
fesetround,0.214458,1-10^-0.105
clnt_sperrno,0.203116,1-10^-0.099
xdr_replymsg,0.201860,1-10^-0.098
clnt_pcreateerror,0.200668,1-10^-0.097
fmaxf,0.195974,1-10^-0.095
authunix_create,0.195817,1-10^-0.095
vswscanf,0.184894,1-10^-0.089
vprintf,0.182395,1-10^-0.087
getsubopt,0.180296,1-10^-0.086
malloc_usable_size,0.179699,1-10^-0.086
pthread_spin_lock,0.168122,1-10^-0.080
__acos_finite,0.165133,1-10^-0.078
__hypot_finite,0.158004,1-10^-0.075
floorl,0.154757,1-10^-0.073
log2f,0.152621,1-10^-0.072
ns_get16,0.150350,1-10^-0.071
tanhf,0.149525,1-10^-0.070
xdr_callmsg,0.149298,1-10^-0.070
svc_getreqset,0.147140,1-10^-0.069
ns_name_uncompress,0.143836,1-10^-0.067
svc_register,0.142589,1-10^-0.067
pmap_unset,0.140997,1-10^-0.066
strfmon,0.137332,1-10^-0.064
wcsspn,0.136505,1-10^-0.064
posix_spawn,0.131119,1-10^-0.061
posix_spawn,0.131119,1-10^-0.061
feenableexcept,0.130328,1-10^-0.061
pthread_rwlockattr_init,0.124420,1-10^-0.058
__acosf_finite,0.118638,1-10^-0.055
__sinh_finite,0.118422,1-10^-0.055
lgamma_r,0.118252,1-10^-0.055
pwritev,0.117823,1-10^-0.054
preadv,0.117799,1-10^-0.054
sched_setparam,0.112771,1-10^-0.052
xdrstdio_create,0.110764,1-10^-0.051
sighold,0.109944,1-10^-0.051
exp2,0.105861,1-10^-0.049
__asinf_finite,0.102276,1-10^-0.047
__cosh_finite,0.102033,1-10^-0.047
posix_spawnattr_setpgroup,0.097970,1-10^-0.045
pivot_root,0.095081,1-10^-0.043
inet_makeaddr,0.093071,1-10^-0.042
xdr_long,0.089694,1-10^-0.041
cbrtf,0.089136,1-10^-0.041
sigrelse,0.087694,1-10^-0.040
xdr_double,0.087137,1-10^-0.040
xdr_bool,0.087063,1-10^-0.040
__atan2f_finite,0.086581,1-10^-0.039
__obstack_printf_chk,0.085682,1-10^-0.039
__isnanl,0.084580,1-10^-0.038
svctcp_create,0.084524,1-10^-0.038
delete_module,0.083477,1-10^-0.038
malloc_stats,0.080689,1-10^-0.037
sqrtl,0.079665,1-10^-0.036
fts_read,0.079613,1-10^-0.036
fts_open,0.079613,1-10^-0.036
fts_close,0.079605,1-10^-0.036
ceill,0.079409,1-10^-0.036
svcudp_create,0.077997,1-10^-0.035
pthread_rwlock_timedwrlock,0.077486,1-10^-0.035
abs,0.077258,1-10^-0.035
ustat,0.076722,1-10^-0.035
pmap_set,0.071685,1-10^-0.032
fts_set,0.069072,1-10^-0.031
svcerr_weakauth,0.068977,1-10^-0.031
getpwent_r,0.065127,1-10^-0.029
bcopy,0.064708,1-10^-0.029
inet_network,0.064371,1-10^-0.029
tee,0.063731,1-10^-0.029
xdr_callhdr,0.062411,1-10^-0.028
_seterr_reply,0.062411,1-10^-0.028
authnone_create,0.061787,1-10^-0.028
xdr_float,0.060488,1-10^-0.027
__asin_finite,0.059169,1-10^-0.026
iswxdigit,0.058488,1-10^-0.026
nearbyintl,0.057004,1-10^-0.025
inet_netof,0.056664,1-10^-0.025
__isoc99_vsscanf,0.055798,1-10^-0.025
pthread_rwlockattr_destroy,0.054388,1-10^-0.024
sched_rr_get_interval,0.054233,1-10^-0.024
log10l,0.053465,1-10^-0.024
pthread_setaffinity_np,0.051980,1-10^-0.023
pthread_setaffinity_np,0.051980,1-10^-0.023
fexecve,0.049046,1-10^-0.022
vsyslog,0.048297,1-10^-0.021
logl,0.047710,1-10^-0.021
mq_open,0.047607,1-10^-0.021
mq_unlink,0.047607,1-10^-0.021
__posix_getopt,0.047068,1-10^-0.021
posix_spawnattr_setsigdefault,0.046808,1-10^-0.021
fedisableexcept,0.045042,1-10^-0.020
__log2f_finite,0.045005,1-10^-0.020
xdr_u_short,0.044543,1-10^-0.020
pthread_barrier_init,0.044214,1-10^-0.020
pthread_barrier_wait,0.044207,1-10^-0.020
pthread_rwlockattr_setkind_np,0.043891,1-10^-0.019
psignal,0.043324,1-10^-0.019
pthread_barrier_destroy,0.043192,1-10^-0.019
sinl,0.042839,1-10^-0.019
catgets,0.042627,1-10^-0.019
roundl,0.042039,1-10^-0.019
catclose,0.041753,1-10^-0.019
__fpclassifyf,0.041686,1-10^-0.018
__pread64_chk,0.041306,1-10^-0.018
__log2_finite,0.040992,1-10^-0.018
fputwc,0.040696,1-10^-0.018
fminf,0.040112,1-10^-0.018
tanl,0.039975,1-10^-0.018
ldexpf,0.039528,1-10^-0.018
ldexpf,0.039528,1-10^-0.018
cpow,0.039455,1-10^-0.017
pthread_getaffinity_np,0.037672,1-10^-0.017
pthread_getaffinity_np,0.037672,1-10^-0.017
get_nprocs,0.036871,1-10^-0.016
cosl,0.036816,1-10^-0.016
atan2l,0.035987,1-10^-0.016
truncl,0.035935,1-10^-0.016
pthread_condattr_setpshared,0.035294,1-10^-0.016
__ppoll_chk,0.034512,1-10^-0.015
fmodl,0.034144,1-10^-0.015
frexpf,0.033486,1-10^-0.015
frexpf,0.033486,1-10^-0.015
__isinfl,0.033334,1-10^-0.015
coshf,0.033234,1-10^-0.015
sinhf,0.033229,1-10^-0.015
log2l,0.032945,1-10^-0.015
exp2l,0.032683,1-10^-0.014
ctan,0.032397,1-10^-0.014
yn,0.032136,1-10^-0.014
jn,0.032136,1-10^-0.014
pthread_rwlock_timedrdlock,0.032113,1-10^-0.014
sincosl,0.032037,1-10^-0.014
rintl,0.031853,1-10^-0.014
expl,0.031833,1-10^-0.014
ldexpl,0.030957,1-10^-0.014
log1pl,0.030310,1-10^-0.013
atoll,0.030232,1-10^-0.013
expm1l,0.030039,1-10^-0.013
cbrtl,0.029082,1-10^-0.013
ilogbl,0.028703,1-10^-0.013
scalbnl,0.028700,1-10^-0.013
logbl,0.028700,1-10^-0.013
scalbnl,0.028700,1-10^-0.013
__fpclassifyl,0.028565,1-10^-0.013
fabsf,0.027974,1-10^-0.012
setjmp,0.026872,1-10^-0.012
cabsf,0.026848,1-10^-0.012
y1,0.026338,1-10^-0.012
y0,0.026338,1-10^-0.012
pthread_spin_trylock,0.025965,1-10^-0.011
fegetenv,0.025861,1-10^-0.011
pthread_rwlockattr_setpshared,0.025144,1-10^-0.011
__b64_pton,0.024602,1-10^-0.011
xdr_uint64_t,0.024556,1-10^-0.011
ldexpl,0.024408,1-10^-0.011
asinl,0.023042,1-10^-0.010
atanl,0.022829,1-10^-0.010
acosl,0.022350,1-10^-0.010
brk,0.022112,1-10^-0.010
modfl,0.021441,1-10^-0.009
modfl,0.021441,1-10^-0.009
xdr_longlong_t,0.021027,1-10^-0.009
sigblock,0.020462,1-10^-0.009
epoll_pwait,0.019848,1-10^-0.009
fgetwc_unlocked,0.019460,1-10^-0.009
malloc_info,0.019057,1-10^-0.008
mkostemps64,0.018972,1-10^-0.008
xdr_int64_t,0.018699,1-10^-0.008
acct,0.018482,1-10^-0.008
fwide,0.017539,1-10^-0.008
remainderl,0.017507,1-10^-0.008
lfind,0.017504,1-10^-0.008
pthread_attr_setstack,0.017171,1-10^-0.008
rresvport,0.016997,1-10^-0.007
lroundl,0.016316,1-10^-0.007
remquol,0.016316,1-10^-0.007
fputwc_unlocked,0.016316,1-10^-0.007
_pthread_cleanup_push,0.016316,1-10^-0.007
_pthread_cleanup_pop,0.016316,1-10^-0.007
getw,0.016247,1-10^-0.007
sched_getcpu,0.014977,1-10^-0.007
fabsl,0.014893,1-10^-0.007
coshl,0.014748,1-10^-0.006
sinhl,0.014748,1-10^-0.006
putw,0.014638,1-10^-0.006
__res_querydomain,0.014189,1-10^-0.006
muntrace,0.013837,1-10^-0.006
mq_receive,0.013613,1-10^-0.006
mq_send,0.013613,1-10^-0.006
mq_timedreceive,0.013577,1-10^-0.006
__finitel,0.013447,1-10^-0.006
__finitel,0.013447,1-10^-0.006
xdr_uint32_t,0.013353,1-10^-0.006
log1pf,0.013345,1-10^-0.006
timer_getoverrun,0.013335,1-10^-0.006
timer_getoverrun,0.013335,1-10^-0.006
tanhl,0.013246,1-10^-0.006
gnu_get_libc_release,0.013075,1-10^-0.006
acoshl,0.012978,1-10^-0.006
asinhl,0.012978,1-10^-0.006
atanhl,0.012978,1-10^-0.006
tgammal,0.012590,1-10^-0.006
__signbit,0.012590,1-10^-0.006
__signbitl,0.012590,1-10^-0.006
lgammal,0.012590,1-10^-0.006
jnl,0.012590,1-10^-0.006
__signbitl,0.012590,1-10^-0.006
__signbit,0.012590,1-10^-0.006
hypotl,0.012590,1-10^-0.006
copysignl,0.012590,1-10^-0.006
nextafterl,0.012590,1-10^-0.006
ynl,0.012590,1-10^-0.006
copysignl,0.012590,1-10^-0.006
getservbyport_r,0.012387,1-10^-0.005
gethostbyname2_r,0.012380,1-10^-0.005
csqrtf,0.012218,1-10^-0.005
erff,0.011877,1-10^-0.005
sigqueue,0.011816,1-10^-0.005
cexpf,0.011444,1-10^-0.005
ffsll,0.011318,1-10^-0.005
erand48,0.011307,1-10^-0.005
ualarm,0.011240,1-10^-0.005
logb,0.010881,1-10^-0.005
semtimedop,0.010713,1-10^-0.005
clogf,0.010075,1-10^-0.004
swprintf,0.009812,1-10^-0.004
cpowf,0.008439,1-10^-0.004
mq_close,0.008172,1-10^-0.004
asinhf,0.007876,1-10^-0.003
ns_name_ntop,0.007745,1-10^-0.003
erfcf,0.007440,1-10^-0.003
tgammaf,0.007433,1-10^-0.003
key_gendes,0.007167,1-10^-0.003
svcudp_bufcreate,0.007167,1-10^-0.003
__libc_allocate_rtsig,0.007156,1-10^-0.003
__libc_allocate_rtsig,0.007156,1-10^-0.003
__gets_chk,0.006862,1-10^-0.003
timerfd_gettime,0.006789,1-10^-0.003
timer_gettime,0.006729,1-10^-0.003
timer_gettime,0.006729,1-10^-0.003
getmsg,0.006649,1-10^-0.003
putmsg,0.006649,1-10^-0.003
__res_mkquery,0.006611,1-10^-0.003
seed48,0.006529,1-10^-0.003
csinf,0.006212,1-10^-0.003
vmsplice,0.005933,1-10^-0.003
ccosf,0.005681,1-10^-0.002
mq_timedsend,0.005486,1-10^-0.002
mq_setattr,0.005486,1-10^-0.002
__res_send,0.005417,1-10^-0.002
wcstol_l,0.005228,1-10^-0.002
nan,0.005133,1-10^-0.002
__rpc_thread_svc_fdset,0.004651,1-10^-0.002
csin,0.004629,1-10^-0.002
acoshf,0.004342,1-10^-0.002
atanhf,0.004342,1-10^-0.002
ccos,0.004177,1-10^-0.002
ilogb,0.004051,1-10^-0.002
__sinhf_finite,0.003974,1-10^-0.002
expm1f,0.003692,1-10^-0.002
iswdigit_l,0.003585,1-10^-0.002
iswspace_l,0.003585,1-10^-0.002
iswupper_l,0.003585,1-10^-0.002
iswalpha_l,0.003585,1-10^-0.002
iswpunct_l,0.003585,1-10^-0.002
iswprint_l,0.003585,1-10^-0.002
iswlower_l,0.003585,1-10^-0.002
fegetexceptflag,0.003565,1-10^-0.002
fesetexceptflag,0.003565,1-10^-0.002
yp_order,0.003469,1-10^-0.002
ypprot_err,0.003469,1-10^-0.002
yp_master,0.003469,1-10^-0.002
yp_all,0.003469,1-10^-0.002
ccosh,0.003355,1-10^-0.001
csinh,0.003355,1-10^-0.001
ctanh,0.003355,1-10^-0.001
j0f,0.003275,1-10^-0.001
j1f,0.003275,1-10^-0.001
y0f,0.003275,1-10^-0.001
fputws_unlocked,0.003196,1-10^-0.001
sigvec,0.003166,1-10^-0.001
__sqrt_finite,0.002834,1-10^-0.001
getrpcport,0.002805,1-10^-0.001
yp_maplist,0.002805,1-10^-0.001
clock_settime,0.002638,1-10^-0.001
wmempcpy,0.002567,1-10^-0.001
lrintl,0.002524,1-10^-0.001
getnetname,0.002522,1-10^-0.001
csinhf,0.002378,1-10^-0.001
ccoshf,0.002378,1-10^-0.001
ctanhf,0.002378,1-10^-0.001
gets,0.002371,1-10^-0.001
ns_msg_getflag,0.001989,1-10^-0.001
pthread_attr_getinheritsched,0.001952,1-10^-0.001
pthread_attr_getinheritsched,0.001952,1-10^-0.001
getwd,0.001833,1-10^-0.001
re_search_2,0.001732,1-10^-0.001
pthread_attr_setaffinity_np,0.001708,1-10^-0.001
pthread_attr_setaffinity_np,0.001708,1-10^-0.001
ctanf,0.001672,1-10^-0.001
get_nprocs_conf,0.001590,1-10^-0.001
pthread_attr_getscope,0.001553,1-10^-0.001
pthread_attr_getscope,0.001553,1-10^-0.001
__vwprintf_chk,0.001536,1-10^-0.001
xdrrec_create,0.001366,1-10^-0.001
fegetexcept,0.001348,1-10^-0.001
__res_nquery,0.001330,1-10^-0.001
argz_add_sep,0.001315,1-10^-0.001
feupdateenv,0.001298,1-10^-0.001
feraiseexcept,0.001298,1-10^-0.001
__getwd_chk,0.001242,1-10^-0.001
wcscspn,0.001241,1-10^-0.001
re_match_2,0.001206,1-10^-0.001
sigisemptyset,0.001153,1-10^-0.001
csqrtl,0.001142,1-10^-0.000
cabsl,0.001122,1-10^-0.000
pthread_setconcurrency,0.001120,1-10^-0.000
clogl,0.001086,1-10^-0.000
pthread_setschedprio,0.000913,1-10^-0.000
pthread_mutexattr_gettype,0.000716,1-10^-0.000
cexpl,0.000693,1-10^-0.000
yp_bind,0.000665,1-10^-0.000
wcstold,0.000630,1-10^-0.000
getfsspec,0.000606,1-10^-0.000
iswxdigit_l,0.000582,1-10^-0.000
tolower_l,0.000582,1-10^-0.000
toupper_l,0.000582,1-10^-0.000
wcstof,0.000582,1-10^-0.000
iswblank_l,0.000582,1-10^-0.000
iswcntrl_l,0.000582,1-10^-0.000
csinl,0.000429,1-10^-0.000
ccosl,0.000429,1-10^-0.000
aio_fsync,0.000363,1-10^-0.000
getgrent_r,0.000312,1-10^-0.000
pthread_attr_getstackaddr,0.000308,1-10^-0.000
scalbnf,0.000269,1-10^-0.000
scalbnf,0.000269,1-10^-0.000
syncfs,0.000267,1-10^-0.000
getprotobyname_r,0.000239,1-10^-0.000
getprotobynumber_r,0.000220,1-10^-0.000
pthread_atfork,0.000201,1-10^-0.000
sockatmark,0.000184,1-10^-0.000
strtoumax,0.000172,1-10^-0.000
__isoc99_vfscanf,0.000072,1-10^-0.000
__wcstol_internal,0.000048,1-10^-0.000
__wcstoul_internal,0.000048,1-10^-0.000
__p_class,0.000029,1-10^-0.000
pthread_tryjoin_np,0.000025,1-10^-0.000
__p_rcode,0.000020,1-10^-0.000
labs,0.000018,1-10^-0.000
inet_nsap_ntoa,0.000018,1-10^-0.000
__wcrtomb_chk,0.000012,1-10^-0.000
xdrrec_endofrecord,0.000004,1-10^-0.000
xdrrec_eof,0.000004,1-10^-0.000
xdrrec_skiprecord,0.000004,1-10^-0.000
vscanf,0.000002,1-10^-0.000
__dn_count_labels,0.000000,1-10^-0.000
__loc_ntoa,0.000000,1-10^-0.000
ns_format_ttl,0.000000,1-10^-0.000
ns_makecanon,0.000000,1-10^-0.000
ns_name_pack,0.000000,1-10^-0.000
ns_name_pton,0.000000,1-10^-0.000
crealf,0.000000,1-10^-0.000
wcstoul_l,0.000000,1-10^-0.000
creal,0.000000,1-10^-0.000
ns_name_skip,0.000000,1-10^-0.000
ns_parse_ttl,0.000000,1-10^-0.000
ns_samedomain,0.000000,1-10^-0.000
ns_samename,0.000000,1-10^-0.000
strfmon_l,0.000000,1-10^-0.000
ns_sprintrr,0.000000,1-10^-0.000
key_encryptsession_pk,0.000000,1-10^-0.000
__acosh_finite,0.000000,1-10^-0.000
getaddrinfo_a,0.000000,1-10^-0.000
gai_cancel,0.000000,1-10^-0.000
realloc,0.000000,1-10^-0.000
munmap,0.000000,1-10^-0.000
mremap,0.000000,1-10^-0.000
mmap64,0.000000,1-10^-0.000
mmap,0.000000,1-10^-0.000
malloc,0.000000,1-10^-0.000
free,0.000000,1-10^-0.000
ns_sprintrrf,0.000000,1-10^-0.000
calloc,0.000000,1-10^-0.000
strcasecmp_l,0.000000,1-10^-0.000
__p_fqnname,0.000000,1-10^-0.000
yp_unbind,0.000000,1-10^-0.000
copysignf,0.000000,1-10^-0.000
__signbitf,0.000000,1-10^-0.000
