opcode,API importance,API importance (accurate)
DMX_SET_PES_FILTER(0x40146f2c),0.154704,1-10^-0.073
TCSETS2(0x402c542b),0.151894,1-10^-0.072
USBDEVFS_GET_CAPABILITIES(0x8004551a),0.151894,1-10^-0.072
TCGETS2(0x802c542a),0.151894,1-10^-0.072
USBDEVFS_DISCONNECT_CLAIM(0x8108551b),0.151894,1-10^-0.072
FE_READ_SIGNAL_STRENGTH(0x80026f47),0.151013,1-10^-0.071
FE_READ_SNR(0x80026f48),0.151013,1-10^-0.071
VIDIOC_G_STD(0x80085617),0.145566,1-10^-0.068
FE_SET_FRONTEND(0x40246f4c),0.141309,1-10^-0.066
CA_RESET(0x6f80),0.124038,1-10^-0.058
FE_SET_PROPERTY(0x40106f52),0.118236,1-10^-0.055
CA_GET_SLOT_INFO(0x800c6f82),0.111845,1-10^-0.052
CA_GET_CAP(0x80106f81),0.111523,1-10^-0.051
DMX_STOP(0x6f2a),0.083378,1-10^-0.038
VIDIOC_S_FREQUENCY(0x402c5639),0.082387,1-10^-0.037
BLKBSZSET(0x40081271),0.073820,1-10^-0.033
FE_READ_BER(0x80046f46),0.061281,1-10^-0.027
DMX_SET_FILTER(0x403c6f2b),0.060885,1-10^-0.027
FE_READ_UNCORRECTED_BLOCKS(0x80046f49),0.060085,1-10^-0.027
VIDIOC_STREAMON(0x40045612),0.054197,1-10^-0.024
FE_GET_EVENT(0x80286f4e),0.053515,1-10^-0.024
VIDIOC_STREAMOFF(0x40045613),0.052157,1-10^-0.023
TIOCSERCONFIG(0x5453),0.047917,1-10^-0.021
TIOCSERGWILD(0x5454),0.047714,1-10^-0.021
TIOCSERSWILD(0x5455),0.047714,1-10^-0.021
TIOCSERGETMULTI(0x545a),0.047714,1-10^-0.021
TIOCSERSETMULTI(0x545b),0.047714,1-10^-0.021
VIDIOC_S_STD(0x40085618),0.047389,1-10^-0.021
VIDIOC_G_INPUT(0x80045626),0.045328,1-10^-0.020
VIDIOC_S_TUNER(0x4054561e),0.044813,1-10^-0.020
LIRC_SET_SEND_CARRIER(0x40046913),0.042801,1-10^-0.019
LIRC_SET_SEND_DUTY_CYCLE(0x40046915),0.042801,1-10^-0.019
LIRC_GET_FEATURES(0x80046900),0.042801,1-10^-0.019
LIRC_GET_REC_MODE(0x80046902),0.042801,1-10^-0.019
LIRC_GET_REC_RESOLUTION(0x80046907),0.042801,1-10^-0.019
LIRC_GET_LENGTH(0x8004690f),0.042801,1-10^-0.019
NBD_DISCONNECT(0xab08),0.040820,1-10^-0.018
NBD_SET_FLAGS(0xab0a),0.040801,1-10^-0.018
