file name,unweighted API importance
/proc/swaps,0.001898
/dev/input/js0,0.001898
/dev/fd0,0.001898
/dev/sr0,0.001787
/etc/malloc.conf,0.001787
/etc/init.d,0.001787
/etc/pulse/client.conf,0.001787
/proc/sys/kernel/cap_last_cap,0.001787
/etc/ld.so.nohwcap,0.001787
/dev/raw1394,0.001675
/proc/self/oom_score_adj,0.001675
/sys/devices/system/cpu/cpu0/cpufreq/cpuinfo_max_freq,0.001675
/proc/evms/volumes,0.001675
/etc/lirc/lircrc,0.001675
/etc/lirc/lirc/lircrc,0.001675
/dev/hda,0.001675
/dev/sg,0.001675
/dev/disk/by-id,0.001675
/etc/slackware-version,0.001675
/sys/devices/system/cpu/cpu*,0.001675
/dev/sound/mixer,0.001563
/etc/shift.conf,0.001563
/etc/nologin,0.001563
/dev/input/event,0.001563
/proc/lvm/VGs,0.001563
/dev/sg*,0.001563
/proc/net/unix,0.001563
/dev/js0,0.001563
/proc/net/udp6,0.001563
/etc/suid-debug,0.001563
/etc/filesystems,0.001563
/proc/net/arp,0.001563
/proc/*/statm,0.001563
/dev/sda,0.001563
/etc/sensors.conf,0.001563
/proc/net/ipv6_route,0.001452
/dev/loop*,0.001452
/sys/block/*/slaves,0.001452
/sys/bus/usb/devices,0.001452
/etc/sensors.d,0.001452
/proc/self/oom_adj,0.001452
/proc/sys/net/ipv4/ip_forward,0.001452
/dev/bus/usb,0.001452
/etc/*.conf,0.001452
/etc/mailname,0.001452
/etc/mandrake-release,0.001452
/proc/*/root,0.001452
/sys/fs/cgroup,0.001452
/sys/devices/system/cpu/cpu*/online,0.001452
/etc/sensors3.conf,0.001452
/etc/libnl-3,0.001452
/proc/sys/fs/inotify/max_user_watches,0.001452
/etc/exherbo-release,0.001452
/sys/devices/system/cpu/cpu0/tsc_freq_khz,0.001340
/sys/devices/virtual,0.001340
/dev/ttyS2,0.001340
/dev/sr,0.001340
/etc/profile,0.001340
/dev/modem,0.001340
/sys/devices/system/cpu/cpu*/topology/core_id,0.001340
/sys/devices/system/cpu/cpu*/topology/physical_package_id,0.001340
/dev/hd*,0.001340
/dev/uinput,0.001340
/dev/mixer1,0.001340
/proc/sys/dev/cdrom/info,0.001340
/dev/sequencer,0.001340
/dev/video1,0.001340
/dev/ttyS*,0.001340
/dev/sd,0.001340
/sys/devices,0.001340
/dev/ttyUSB1,0.001340
/dev/v4l/video0,0.001228
/proc/mdstat,0.001228
/sys/devices/system/cpu/cpu*/topology/core_siblings_list,0.001228
/etc/fedora-release,0.001228
/sys/devices/system/cpu/cpu*/cpuidle/state*,0.001228
/dev/scd,0.001228
/dev/hd,0.001228
/proc/*/mem,0.001228
/dev/ttyS3,0.001228
/dev/rfkill,0.001228
/dev/sda1,0.001228
/dev/psaux,0.001228
/proc/self,0.001228
/dev/input/uinput,0.001228
/sys/bus/pci/devices,0.001228
/sys/devices/system/cpu/cpu*/topology/thread_siblings_list,0.001228
/proc/vz,0.001228
/dev/vbi0,0.001228
/etc/popt,0.001228
/dev/radio0,0.001228
/sys/class/hwmon,0.001228
/dev/vmbus/hv_fcopy,0.001228
/etc/ethers,0.001228
/etc/sysconfig/clock,0.001228
/etc/popt.d,0.001228
/sys/devices/system/cpu/cpu*/cpuidle/state0,0.001228
/dev/v4l/video2,0.001117
/dev/video2,0.001117
/dev/v4l/video1,0.001117
/proc/*/smaps,0.001117
/dev/loop-control,0.001117
/dev/vcsa*,0.001117
/etc/grid-security/grid-mapfile,0.001117
/dev/fb*,0.001117
/proc/kallsyms,0.001117
/sys/module/acpi/parameters/acpica_version,0.001117
/dev/i2c-*,0.001117
/dev/md,0.001117
/dev/misc/uinput,0.001117
/etc/adjtime,0.001005
/dev/parport*,0.001005
/etc/bareos,0.001005
/etc/system-release,0.001005
/etc/hosts.deny,0.001005
/etc/grid-security/hostcert.pem,0.001005
/dev/tpm0,0.001005
/dev/input/mice,0.001005
/etc/grid-security/hostkey.pem,0.001005
/etc/sgml/catalog,0.001005
/dev/scd*,0.001005
/proc/kcore,0.001005
/etc/arc/client.conf,0.001005
/proc/scsi/scsi,0.001005
/dev/lircd,0.001005
/proc/sys,0.001005
/proc/net/snmp,0.001005
/dev/mixer2,0.001005
/dev/mixer3,0.001005
/dev/v4l/video3,0.001005
/dev/video3,0.001005
/dev/arandom,0.001005
/dev/sound/mixer1,0.001005
/proc/fs/nnpfs/afs_ioctl,0.001005
/etc/hosts.equiv,0.001005
/proc/fs/openafs/afs_ioctl,0.001005
/proc/sys/kernel/core_pattern,0.001005
/etc/dconf,0.001005
/dev/vcsa,0.001005
/proc/self/task/*/mem,0.001005
/dev/dsp1,0.001005
/etc/hosts.allow,0.000893
/sys/devices/system/node,0.000893
/dev/v4l/vbi0,0.000893
/dev/v4l/radio0,0.000893
/sys/bus/i2c/devices,0.000893
/dev/sound/mixer3,0.000893
/dev/sd*,0.000893
/sys/power/state,0.000893
/dev/sound/mixer2,0.000893
/dev/isdninfo,0.000893
/proc/sys/kernel/hostname,0.000893
/dev/video*,0.000893
/sys/class/input,0.000893
/proc/*/oom_score_adj,0.000893
/proc/*/oom_adj,0.000893
/etc/grid-security/vomsdir,0.000893
/dev/ttyUSB2,0.000893
/etc/release,0.000893
/dev/pts/1,0.000893
/dev/ttya,0.000893
/etc/svc.conf,0.000893
/etc/subversion,0.000893
/etc/root,0.000893
/dev/disk/by-uuid,0.000893
/dev/dvb/adapter*/frontend*,0.000893
/dev/tty1,0.000893
/proc/sysvipc/msg,0.000893
/proc/sysvipc/sem,0.000893
/proc/sysvipc/shm,0.000893
/sys/module/apparmor/parameters/enabled,0.000893
/proc/self/cgroup,0.000893
/etc/inittab,0.000893
/proc/sys/net/ipv6/conf/all/forwarding,0.000893
/proc/self/fd/0,0.000893
/sys/devices/system/cpu/cpu*/cpufreq/scaling_max_freq,0.000893
/sys/devices/system/cpu/cpu*/cpufreq/scaling_min_freq,0.000893
/etc/mandriva-release,0.000782
/dev/dm,0.000782
/sys/class/dmi/id/product_name,0.000782
/dev/dri/card0,0.000782
/proc/PID/stat,0.000782
/dev/misc/rtc,0.000782
/dev/rtc0,0.000782
/dev/sr*,0.000782
/dev/vfio/vfio,0.000782
/proc/PID/status,0.000782
/proc/sys/vm/max_map_count,0.000782
/proc/net/raw,0.000782
/dev/parport,0.000782
/etc/brlapi.key,0.000782
/proc/*/ns/net,0.000782
/dev/hdc,0.000782
/etc/imapd.conf,0.000782
/proc/pmu/info,0.000782
/etc/ax25/axports,0.000782
/dev/port,0.000782
/sys/devices/system/cpu/cpu*/cpufreq/scaling_governor,0.000782
/proc/sys/vm/drop_caches,0.000782
/etc/firebird/2.5,0.000782
/dev/ram,0.000782
/etc/issue.net,0.000782
/etc/gshadow,0.000782
/dev/fb/0,0.000782
/etc/rc.conf,0.000782
/dev/ttyUSB*,0.000782
/etc/OpenCL/vendors,0.000782
/dev/infiniband,0.000782
/etc/qemu-ifup,0.000782
/etc/qemu-ifdown,0.000782
/dev/mouse,0.000782
/sys/class/infiniband_mad,0.000782
/sys/class/infiniband,0.000782
/etc/lightdm/users.conf,0.000782
/etc/lightdm,0.000782
/etc/iproute2/rt_protos,0.000782
/dev/vhost-net,0.000782
/etc/ld.so.conf,0.000782
/etc/skel,0.000782
/etc/click/databases,0.000782
/etc/iproute2/rt_realms,0.000782
/etc/news/server,0.000782
/dev/parport0,0.000782
/sys/class/dmi/id/sys_vendor,0.000782
/sys/class/thermal,0.000670
/etc/sysconfig/mouse,0.000670
/dev/fd1,0.000670
/dev/vhost-scsi,0.000670
/etc/nut,0.000670
/dev/vhci,0.000670
/proc/net/rpc/nfsd,0.000670
/etc/sysconfig/keyboard,0.000670
/proc/net/rpc/nfs,0.000670
/etc/entropy,0.000670
/etc/conf.d/gpm,0.000670
/sys/devices/system/cpu/cpu*/cpufreq/scaling_available_frequencies,0.000670
/etc/oracle-release,0.000670
/etc/prelude/default,0.000670
/proc/xen,0.000670
/etc/libva.conf,0.000670
/dev/ppi,0.000670
/etc/openafs,0.000670
/sys/firmware/efi,0.000670
/etc/iproute2/rt_scopes,0.000670
/etc/lircrc,0.000670
/proc/sys/dev/sensors,0.000670
/dev/pts/ptmx,0.000670
/dev/hci_vhci,0.000670
/dev/lp0,0.000670
/etc/subuid,0.000670
/sys/dev/block,0.000670
/dev/dvb/adapter*/demux*,0.000670
/proc/iomem,0.000670
/etc/prelude/profile,0.000670
/proc/*ld/cmdline,0.000670
/dev/hda1,0.000670
/dev/ipmi0,0.000670
/proc/net/ip_conntrack,0.000670
/etc/courier/quotawarnmsg,0.000670
/etc/openafs/server,0.000670
/sys/devices/system/cpu/cpu0/cpufreq,0.000670
/dev/ttyACM0,0.000670
/etc/smi.conf,0.000670
/etc/sysctl.conf,0.000670
/dev/input/js,0.000670
/proc/sys/kernel/random/poolsize,0.000670
/proc/sys/kernel/yama/ptrace_scope,0.000670
/etc/ftpusers,0.000670
/etc/orbitrc,0.000670
/sys/class/backlight,0.000670
/etc/ncbi,0.000670
/dev/md*,0.000670
/sys/class/i2c-adapter,0.000670
/proc/*ld,0.000670
/etc/decnet.conf,0.000670
/dev/ttyS,0.000670
/dev/fuse,0.000670
/dev/ptc,0.000670
/sys*,0.000670
/etc/slp.conf,0.000670
/etc/dnsrewrite,0.000670
/etc/.pwd.lock,0.000670
/dev/js1,0.000670
/etc/network/interfaces,0.000670
/sys/fs/cgroup/systemd,0.000670
/etc/dovecot/dovecot.conf,0.000670
/sys/class/dmi/id/product_uuid,0.000670
/proc/self/uid_map,0.000670
/etc/apt/apt.conf,0.000670
/dev/mixer*,0.000670
/sys/class/misc/*/device/cancel,0.000670
/proc/self/ns/user,0.000670
/proc/sys/kernel/random/boot_id,0.000558
/proc/*/io,0.000558
/proc/*ld/stat,0.000558
/etc/capi20.conf,0.000558
/proc/*ld/task,0.000558
/proc/*ld/task/*ld/stat,0.000558
/etc/ntp.conf,0.000558
/dev/ptm/clone,0.000558
/proc/*/file,0.000558
/etc/turbolinux-release,0.000558
/proc/sys/kernel/ctrl-alt-del,0.000558
/etc/selinux/config,0.000558
/dev/tape,0.000558
/proc/net/raw6,0.000558
/proc/net/nr_nodes,0.000558
/etc/hesiod.conf,0.000558
/etc/login.defs,0.000558
/etc/pure-ftpd/pureftpd.passwd,0.000558
/etc/slurm/cgroup,0.000558
/sys/class,0.000558
/dev/ttyS4,0.000558
/proc/slabinfo,0.000558
/etc/tangorc,0.000558
/etc/good_guys,0.000558
/etc/clamav/freshclam.conf,0.000558
/etc/novell-release,0.000558
/sys/fs/cgroup/cgmanager,0.000558
/etc/clamav/clamd.conf,0.000558
/proc/*/ns,0.000558
/etc/clamav/clamav-milter.conf,0.000558
/etc/clamav,0.000558
/proc/sys/kernel/random/entropy_avail,0.000558
/etc/nfc/libnfc.conf,0.000558
/proc/xen/capabilities,0.000558
/etc/conectiva-release,0.000558
/etc/vomses,0.000558
/dev/ttyUSB3,0.000558
/etc/pure-ftpd/pureftpd.pdb,0.000558
/etc/gEDA,0.000558
/etc/rpmrc,0.000558
/etc/inetd.conf,0.000558
/dev/vn,0.000558
/etc/pld-release,0.000558
/etc/sun-release,0.000558
/etc/pki/tls,0.000558
/etc/rpm/platform,0.000558
/etc/rpm/macros.*,0.000558
/etc/rpm/macros,0.000558
